Stop_id,Stop_Name
1240,ZARA
1241,SABAUDIA
1242,SABAUDIA
1243,PONTE DEL GATTO
1244,PONTE DEL GATTO
1245,XXV APRILE N.29
1246,XXV APRILE N.68
1247,XXV APRILE N.65
1248,XXV APRILE N.102
1249,XXV APRILE N.102
125,LANCIA
1250,VAL PATTONERA
12506,LEINI (STR. VOLPIANO 23)
12509,LEINI (BALTEA-BUFFETTI)
1251,VAL PATTONERA
12512,LEINI (MANTOVANI)
12515,VOLPIANO (BAR PINA)
12518,VOLPIANO (GOMMISTA)
1252,XXV APRILE N.167
12521,VOLPIANO (BV. CEBROSA)
12524,VOLPIANO (STAZIONE)
1253,XXV APRILE N.164
1254,CAVORETTO CAP
1255,XXV APRILE N.56
1256,QUERCE SUD
1257,ULIVI N.12
1258,QUERCE
1259,ABETI NORD
126,PARCO RUFFINI
1260,ABETI NORD
1261,VOLGOGRAD NORD
1262,VOLGOGRAD NORD
1263,VOLGOGRAD SUD
1264,VOLGOGRAD SUD
1265,ULIVI
1266,ROBINIE
1267,ABETI
1268,FRASSINI
1269,FRASSINI
127,PARCO RUFFINI
1270,BETULLE
1271,BETULLE
1272,ABBADIA DI STURA
1273,ABBADIA DI STURA
1274,CUORGNÈ
1275,CUORGNÈ
1276,VERCELLI
1277,VERCELLI
1278,GIULIO CESARE
1279,GIULIO CESARE
128,MONFALCONE
1280,SCOTELLARO
1281,SCOTELLARO
1282,OXILIA
1283,OXILIA
1284,PORPORA
1285,GOTTARDO
1286,MARTORELLI
1287,XXV APRILE NORD
1288,XXV APRILE NORD
1289,TORRICELLI
129,MONFALCONE
1290,TORRICELLI
1291,GIULIO CESARE
1292,CASTELLO DI MIRAFIORI
1294,SOLFERINO
1295,RE UMBERTO
1297,PORTA SUSA CAP
1298,XVIII DICEMBRE
13,RIVOLI
130,SEBASTOPOLI
1300,PORTA SUSA
1301,DON BOSCO
1302,DON BOSCO
1303,CIRIÈ
1304,CIRIÈ
13043,SETTIMO (C.SO BRUNELLESCHI)
1305,FORTINO
1306,FORTINO
1307,BALDISSERA
1308,BALDISSERA
1309,CIGNA
131,SEBASTOPOLI
1310,CIGNA
1311,CRISPI OVEST
1312,CRISPI OVEST
1313,REGIO PARCO
1314,ARONA
1315,PIRANDELLO
1316,STURA
1317,D'AZEGLIO
1318,CHIOMO
1319,ROMOLO E REMO
132,FILADELFIA
1320,STURA C.2
1322,PUGLIA C.3
1323,STURA
1324,PUGLIA N.35
1325,STURA C.2
1326,PUGLIA C.4
1327,CENTRO COMMERCIALE
1328,MONDOVÌ
1329,PISTOIA
133,FILADELFIA
1330,TEMPIA
1331,TEMPIA
1332,CAFASSO
1333,CENTRO COMMERCIALE
1334,CENTRO COMMERCIALE
1335,ROMANIA N.546
1336,ROMANIA N.546
1337,NERVI
1338,CASCINETTE C.6 CAP
1339,VILLAGGIO OLIMPIA
134,PITAGORA NORD
1340,VITTORIO VENETO
1341,CREMONA
1342,NERVI
1345,TORINO N.91
1346,TORINO N.91
1347,TORINO N.116
1348,TORINO N.116
1349,BARACCA
135,PITAGORA NORD
1350,BARACCA
1351,CUNEO
1352,MEUCCI
1353,ALESSANDRIA
1354,AVOGADRO
1355,GRIBAUDIA
1356,ROSSELLI
1357,ROMA
1358,MONTELLO
1359,GALILEI
136,PITAGORA SUD
1360,VOLTA
1361,GRAMSCI
1362,PARK STURA CAP
1363,COMO
1364,PARK STURA CAP
1365,MARONCELLI CAP
1366,DI VITTORIO
1367,DI VITTORIO
1368,MONVISO
1369,MONVISO
137,PITAGORA SUD
1370,PARK CAIO MARIO
1371,LEINI
1372,PARK CAIO MARIO
1373,LEVI
1375,FALCHERA CAP
1377,VERCELLI
1378,SCIALOJA CAP
1379,ALA DI STURA
138,DANDOLO
1380,ALA DI STURA
1381,DELLA CELLA
1382,DELLA CELLA
1383,VERONESE
1384,PREVIATI
1386,MASSARI
1387,FEA
1388,FEA
1389,FERMI
139,DANDOLO
1390,FERMI
1391,LULLI
1392,LULLI
1393,PIRANDELLO
1394,GALILEO FERRARIS OVEST
1396,REYCEND
1397,CASCINA NUOVA
1398,VANINETTI
1399,MOGLIA
140,TAZZOLI
1400,FEA
1401,DEL NOBILE N.27
1402,BREGLIO
1403,DEL NOBILE N.55
14039,SAN FRANCESCO
1404,SOSPELLO
1405,CRIMEA
1406,COPPINO
1407,SAN VINCENZO OVEST
1408,SAORGIO
1409,SAN VINCENZO OVEST
141,TAZZOLI
1410,VIBÒ
1411,XVIII DICEMBRE
1412,BOSTON
1413,PINEROLO
1414,BOSTON
1415,VITTORIO EMANUELE II CAP
1416,SAN MAURIZIO CAP
1417,GRAN MADRE
1418,GRAN MADRE
1419,BIAMONTI
142,TAZZOLI C.2
1420,BIAMONTI
1421,VILLA DELLA REGINA
1422,VILLA DELLA REGINA
1423,CAPPUCCINI
1424,CAPPUCCINI
1425,LANZA
1426,LANZA
1427,RIGHINO
1429,LICEO VALSALICE
143,TAZZOLI C.2
1430,LICEO VALSALICE
1431,MOROZZO
1432,DEL NOBILE N.27
1433,DEL NOBILE N.55
1434,DEL NOBILE N.87
1435,MARONCELLI
1436,SAN VINCENZO CAP
1437,TADINI EST
1438,VAL SALICE
14384,CASELLE (STR. TORINO 9)
1439,VAL SALICE N.57
144,D'ARBOREA
1440,TADINI
1441,ADUA
1442,GABETTI CAP
1443,MONCALVO
1444,GOZZANO
1445,PONTE TROMBETTA
1446,PONTE TROMBETTA
1447,SAN MARTINO SUPERIORE
1448,SAN MARTINO SUPERIORE
1449,SAN MARTINO N.66
145,D'ARBOREA
1450,SAN MARTINO N.66
1451,SAN MARTINO N.82
1452,SAN MARTINO N.82
1453,SANT'ANNA
1454,SANT'ANNA
14549,CASELLE (OSPEDALE)
1455,SANT'ANNA N.9
1456,SANT'ANNA N.9
1457,SANT'ANNA N.52
1458,SANT'ANNA N.45
1459,SANT'ANNA N.79
146,AGNELLI C.3
1460,SANT'ANNA N.79
14609,LEINI (STR. SETTIMO 129)
1461,SANT'ANNA N.74
14612,LEINI (FORNACINO)
14613,SETTIMO (V. LEINI/V. LUCCHINI)
1462,SANT'ANNA N.74
1463,SANT'ANNA N.80
1464,SANT'ANNA N.80
1465,LAVAZZA N.47
1466,LAVAZZA N.54
1467,LAVAZZA N.37
1468,LAVAZZA N.36
1469,LAVAZZA
147,AGNELLI C.3
1470,LAVAZZA
1471,PININ PACOT
1472,PININ PACOT
1473,SAN MARTINO N.171
1474,SAN MARTINO N.155
1475,SANTA MARGHERITA
1476,SANTA MARGHERITA
1477,SAN VINCENZO
1478,SAN VINCENZO
1479,MAINERO N.58
148,TAZZOLI
1480,MAINERO N.61
1481,MAINERO N.94
1482,MAINERO N.94
1483,MAINERO N.126
1484,MAINERO N.126
1485,MAINERO CAP
1486,MONCALIERI CAP
1487,NITTI
1488,NITTI
1489,RUBINO
149,CAIO MARIO CAP
1490,RUBINO
1491,SALVEMINI
1492,SALVEMINI
1493,GIARDINO GREEN
1494,GIARDINO GREEN
1495,SALVEMINI OVEST
1496,SALVEMINI OVEST
1497,ALLAMANO
1498,ALLAMANO
1499,SANTA RITA NORD
150,UNIONE SOVIETICA
1500,SANTA RITA NORD
1501,CAPRERA
1502,CAPRERA
1503,TIRRENO
1504,TIRRENO
1505,MARMOLADA SUD
1506,MARMOLADA SUD
1507,MARMOLADA NORD
1508,MARMOLADA NORD
1509,RIVALTA
151,UNIONE SOVIETICA
1510,RIVALTA
1511,ROBILANT SUD
1512,ROBILANT SUD
1513,ROBILANT NORD
1514,MONGINEVRO
1515,MONGINEVRO
1516,TINIVELLA
1517,TINIVELLA
1518,PRAGELATO
1519,CAPRIOLO
152,GUALA
1520,RACCONIGI NORD
1521,FREJUS
1522,VITTORIO EMANUELE II OVEST
1523,VITTORIO EMANUELE II OVEST
1524,ROBILANT SUD
1525,MOGLIA
1526,CASCINA NUOVA
1527,MICCA
1528,MONTE NERO
1529,ARIOSTO
153,GUALA
1530,BERNINI EST
1531,DUCHESSA JOLANDA
1532,CAVALLI
1533,PALMIERI
1534,VOLTA
1535,DROVETTI
1536,MONTELLO
1537,GRIBAUDIA
1538,ALESSANDRIA
1539,CUNEO
154,PIO VII
1540,FARINI CAP
1541,PARK STURA CAP
1542,RODI
1543,DI VITTORIO
15436,VOLPIANO (ULTRAGAS)
1544,DI VITTORIO
1545,ALFIERI
1546,TOLMINO
15460,SETTIMO (V. CEBROSA/STR. DELLA MERLA)
1547,DORA GTT
1548,RENIER
1549,RENIER
155,BENEDETTO CROCE
1550,ROBILANT SUD
1551,PESCHIERA
1552,MONTE NERO
1554,COLLEGNO
1555,PALAGIUSTIZIA
1557,CARLINA NORD RISTOCOLOR
1558,PASSO BUOLE
1559,MICCA
156,PIO VII
1560,EANDI
1561,GIOBERTI
1562,GIOBERTI
15620,POSTIGLIONE
15621,VAJONT
15622,MONCALIERI (BUGATTI)
1563,SAN GABRIELE DA GORIZIA
1564,STATUTO
1565,TONCO
1566,BRICCA
1567,BRICCA
1568,FIGLIE DEI MILITARI
1569,FIGLIE DEI MILITARI
157,SETTE COMUNI
1570,PLAVA C.30
1571,TOSELLI
1572,GASSINO
1573,GASSINO
1574,DEL LAURO
1576,TABACCHI CAP
1577,MOCHINO
1578,MATTATOIO NORD
158,SETTE COMUNI
1580,PALESTRO
1581,PALESTRO
1582,BERTOLLA EST
1583,BERTOLLA EST
1584,BANDELLO
1585,BANDELLO
1586,BERTOLLA
1587,BERTOLLA
1588,TORRE PELLICE
1589,TORRE PELLICE
159,CANELLI
1590,CHIESA
1591,CHIESA
1592,MONTE TORARO
1593,MONTE TORARO
1594,STURA LAZIO
1595,STURA LAZIO
1596,CENTALLO
1597,MAGRA
1598,VITTIME DI BOLOGNA
1599,TORRE PELLICE CAP
160,CANELLI
1600,MAGRA EST
1601,MAGRA
1602,D'ANDRADE
1603,SOFIA NORD
1604,CRAVERO
1605,CRAVERO
1606,ANCINA
1607,ANCINA
1608,TORINO
1609,SESTRIERE CAP
161,NIZZA
1610,PELLICE
1612,CEBROSA NORD
1613,GROSSETO
1614,CORELLI
1615,CORELLI
1616,CILEA
1617,CILEA
1618,OSPEDALE GIOVANNI BOSCO
1619,OSPEDALE GIOVANNI BOSCO
162,BENGASI EST
1620,ANTICA DI COLLEGNO
1621,AMBROSIO
1622,TORINO
1623,GRADISCA
1624,GRADISCA
1627,STAZIONE REBAUDENGO CAP
1628,SESIA
1629,NOVARA
163,CORRADINO CAP
1630,LARGO PALERMO
1631,PAVIA
1633,COMO
1634,ANCONA
1635,ANCONA
1636,REGIO PARCO
1637,REGIO PARCO
1638,REGINA MARGHERITA
1639,REGINA MARGHERITA
164,CASTELDELFINO
1640,FERRARA
1641,PIEMONTE
1642,BERTOLA
1643,PIEMONTE
1644,LOMBARDIA CAP
16442,DELLA LIBERTA'
1645,TOSCANA
1646,DEI MUGHETTI
1647,PIAZZA MERCATO
1648,OMERO OVEST
1649,ALLASON CAP
165,VALLETTE CAP
1651,ROMITA
1652,ROMITA
1653,TEMPIO PAUSANIA
1654,TEMPIO PAUSANIA
1655,GAIDANO
1656,GAIDANO
1657,PITAGORA
1658,PITAGORA
16585,NICHELINO (P.LE ALPI)
1659,DON GRIOLI
166,VALLETTE
1660,DON GRIOLI
1661,SAN MARINO
1662,SAN MARINO
1663,ORBASSANO
1664,ORBASSANO
1665,FILADELFIA
1666,FILADELFIA
1667,SEBASTOPOLI
1668,SEBASTOPOLI
1669,BARLETTA
167,MONTALE
1670,MOMBASIGLIO
1671,ADA NEGRI
1672,ADA NEGRI
1673,TOLMINO
1674,TOLMINO
1675,VITTIME DI BOLOGNA N.10
1677,ANGLESIO CAP
1678,PIAZZA MERCATO
1679,LIONE
168,MONTALE
1680,PIGAFETTA
1682,ARSENALE
1683,BERTOLA CAP
1684,GLICINI
1685,PRIMULE
1687,MUGHETTI
1688,MONTALE
1689,MONTALE
169,PERVINCHE
1690,CIMITERO SETTIMO CAP
1691,CIMITERO SETTIMO CAP
1692,PERVINCHE
1693,PERVINCHE
1694,SANSOVINO
1695,SANSOVINO
1697,MUGHETTI OVEST
1698,PRIMULE OVEST
1699,PRIMULE OVEST
17,BERNINI OVEST
170,PERVINCHE
1700,CINCINNATO
1701,CINCINNATO
1702,TERRANEO
1703,TERRANEO
1704,LOMBARDIA
1705,LOMBARDIA
1708,FOGLIZZO EST
1709,FOGLIZZO
171,SANSOVINO
1710,FORLÌ
1711,FORLÌ
1713,NIEVO
1714,CINCINNATO
1715,CINCINNATO
1716,FOGLIZZO
1717,FOGLIZZO
1718,BORSI
1719,BORSI
172,SANSOVINO
1720,POTENZA OVEST
1721,POTENZA OVEST
1722,POTENZA
1723,POTENZA
1724,SVIZZERA
1725,SVIZZERA
1726,MARTINETTO
1727,MEDAIL
1728,MEDAIL
1729,GALVANI
173,CINCINNATO
1730,GALVANI
1731,SACCARELLI
1732,SACCARELLI
1733,MONCENISIO
1734,MONCENISIO
1736,PARIS CAP
1737,PEPE
1738,DESTEFANIS
1739,DESTEFANIS
174,CINCINNATO
1740,BRAMAFAME
1741,BRAMAFAME
1742,STAMPALIA
1743,STAMPALIA
1744,CALTANISSETTA
1745,SOSTEGNO
1747,CARRERA
1748,STAMPINI
1749,STAMPINI
175,LOMBARDIA
1750,LULLI
1753,GROSSETO
1754,COPPINO EST
1755,COPPINO
1756,LARGO MASSAIA
1757,LARGO MASSAIA
1758,VEROLENGO
1759,VEROLENGO
176,LOMBARDIA
1760,BRIN
1761,BRIN
1762,MORTARA
1763,MORTARA
1764,TREVISO
1765,TREVISO
1766,FRANCIA EST
1767,FRANCIA
1768,PACCHIOTTI EST
1769,MEISINO
